train_losses,0.14190692341938382,0.106127977548967,0.10175407233698053,0.09725795074406729,0.09651413629891464,0.09209142337499235
train_accuracies,94.17823274508572,96.03717892356968,95.93041512277837,96.31978898448784,96.25698674872825,96.35747032594361
val_losses,0.24334385613510512,0.2784214952952182,0.2913381145988924,0.2940137655689166,0.30910131896580506,0.304520807671466
val_accuracies,89.59276018099547,89.25339366515837,89.36651583710407,88.74434389140272,89.36651583710407,89.47963800904978
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001
execution time,72.4830551147461,72.65489149093628,72.38932800292969,72.37370705604553,72.34246182441711,72.46743369102478
True Positives,67,76,72,81,72,76
True Negatives,1517,1502,1508,1488,1508,1506
False Positives,51,66,60,80,60,62
False Negatives,133,124,128,119,128,124
